PCC,PCC.sd,Kappa,Kappa.sd,sensitivity,sensitivity.sd,specificity,specificity.sd,AUC,AUC.sd,TSS,nestimate,colony,flight,Method,Method1,Method2,Observed,Method3,PctError,DisttoColony,Angle,RMSE,NSSDA,Per_Cover,maxRMSE
0.959183673,0.006859717,0.035288507,0.053864983,0.982758621,0.004570871,0.047619048,0.047619048,0.515188834,0.02391896,0.030377669,818,c,f1,Single,Single,na,812,UAS,0.738916256,na,na,na,na,9.769142358,na
0.950363196,0.007561705,0.024203308,0.045313772,0.965517241,0.006407234,0.071428571,0.071428571,0.518472906,0.035857682,0.036945812,797,c,f3,Single,Single,na,812,UAS,1.84729064,na,na,na,na,9.769142358,na
0.957729469,0.006996608,0.125739109,0.076009354,0.972906404,0.005701097,0.1875,0.100778222,0.580203202,0.050469675,0.160406404,803,c,f4,Single,Single,na,812,UAS,1.108374384,na,na,na,na,9.769142358,na
0.924050633,0.029995953,0.361185984,0.202962047,0.97260274,0.019237785,0.333333333,0.210818511,0.652968037,0.105847221,0.305936073,75,bsouth,f1,Single,Single,na,73,UAS,2.739726027,na,na,na,na,2.363570578,na
0.934210526,0.028626612,-0.032608696,0.015799875,0.97260274,0.019237785,0,0,0.51369863,0.009618892,-0.02739726,74,bsouth,f3,Single,Single,na,73,UAS,1.369863014,na,na,na,na,2.363570578,na
0.879518072,0.035948139,0.232902033,0.15997274,0.97260274,0.019237785,0.2,0.133333333,0.58630137,0.067357015,0.17260274,79,bsouth,f4,Single,Single,na,73,UAS,8.219178082,na,na,na,na,2.363570578,na
0.967164179,0.009751037,-0.01319769,0.005714358,0.990825688,0.005280519,0,0,0.504587156,0.002640259,-0.009174312,332,bnorth,f1,Single,Single,na,327,UAS,1.529051988,na,na,na,na,10.36201074,na
0.964071856,0.010198821,0.124508519,0.128991742,0.981651376,0.007433128,0.142857143,0.142857143,0.56225426,0.071525196,0.124508519,327,bnorth,f3,Single,Single,na,327,UAS,0,na,na,na,na,10.36201074,na
0.981873112,0.007343994,0.240825688,0.203955353,0.990825688,0.005280519,0.25,0.25,0.620412844,0.125027881,0.240825688,327,bnorth,f4,Single,Single,na,327,UAS,0,na,na,na,na,10.36201074,na
0.96627907,0.006158919,0.105965013,0.078306851,0.976442874,0.005208188,0.181818182,0.121967344,0.579130528,0.061039246,0.158261056,838,saddle,f1,Single,Single,na,849,UAS,1.295641932,na,na,na,na,5.510920438,na
0.963869464,0.006374644,0.192090395,0.086281098,0.969375736,0.005916719,0.444444444,0.175682092,0.70691009,0.087890849,0.41382018,828,saddle,f3,Single,Single,na,849,UAS,2.473498233,na,na,na,na,5.510920438,na
0.967479675,0.00604852,0.109485816,0.080667737,0.978798587,0.004946877,0.166666667,0.112366644,0.572732627,0.056237741,0.145465254,841,saddle,f4,Single,Single,na,849,UAS,0.942285041,na,na,na,na,5.510920438,na
