Pt_ID,Flight,Observed
0,F1,1
1,F1,1
2,F1,1
3,F1,0
4,F1,1
5,F1,1
6,F1,1
7,F1,1
8,F1,1
9,F1,1
10,F1,1
11,F1,1
12,F1,1
13,F1,1
14,F1,1
15,F1,1
16,F1,1
17,F1,1
18,F1,1
19,F1,1
20,F1,1
21,F1,1
22,F1,1
23,F1,1
24,F1,1
25,F1,1
26,F1,1
27,F1,1
28,F1,1
29,F1,1
30,F1,1
31,F1,1
32,F1,1
33,F1,0
34,F1,0
35,F1,0
36,F1,1
37,F1,1
38,F1,1
39,F1,1
40,F1,1
41,F1,1
42,F1,1
43,F1,1
44,F1,1
45,F1,1
46,F1,1
47,F1,1
48,F1,1
49,F1,1
50,F1,1
51,F1,1
52,F1,1
53,F1,1
54,F1,1
55,F1,1
56,F1,1
57,F1,1
58,F1,0
59,F1,1
60,F1,1
61,F1,1
62,F1,1
63,F1,1
64,F1,1
65,F1,1
66,F1,1
67,F1,1
68,F1,0
69,F1,1
70,F1,1
71,F1,1
72,F1,1
73,F1,1
74,F1,1
75,F1,1
76,F1,1
77,F1,1
78,F1,1
1,F3,1
2,F3,1
3,F3,1
4,F3,1
5,F3,1
6,F3,1
7,F3,1
8,F3,1
9,F3,1
10,F3,1
11,F3,1
12,F3,1
13,F3,1
14,F3,1
15,F3,1
16,F3,1
17,F3,1
18,F3,1
19,F3,1
20,F3,1
21,F3,1
22,F3,1
23,F3,1
24,F3,1
25,F3,1
26,F3,1
27,F3,1
28,F3,1
29,F3,1
30,F3,1
31,F3,1
32,F3,1
33,F3,1
34,F3,1
35,F3,1
36,F3,1
37,F3,1
38,F3,1
39,F3,1
40,F3,1
41,F3,1
42,F3,1
43,F3,1
44,F3,1
45,F3,1
46,F3,1
47,F3,1
48,F3,1
49,F3,1
50,F3,1
51,F3,1
52,F3,1
53,F3,1
54,F3,1
55,F3,0
56,F3,1
57,F3,1
58,F3,1
59,F3,1
60,F3,1
61,F3,1
62,F3,0
63,F3,1
64,F3,1
65,F3,0
66,F3,1
67,F3,1
68,F3,1
69,F3,1
70,F3,1
71,F3,1
72,F3,1
73,F3,1
74,F3,1
75,F3,1
76,F3,1
0,F4,0
1,F4,0
2,F4,1
3,F4,1
4,F4,1
5,F4,1
6,F4,1
7,F4,1
8,F4,1
9,F4,1
10,F4,1
11,F4,1
12,F4,1
13,F4,0
14,F4,1
15,F4,1
16,F4,1
17,F4,1
18,F4,1
19,F4,1
20,F4,0
21,F4,1
22,F4,1
23,F4,1
24,F4,1
25,F4,0
26,F4,0
27,F4,0
28,F4,1
29,F4,1
30,F4,1
31,F4,1
32,F4,1
33,F4,1
34,F4,1
35,F4,1
36,F4,1
37,F4,1
38,F4,1
39,F4,1
40,F4,1
41,F4,1
42,F4,1
43,F4,1
44,F4,1
45,F4,0
46,F4,1
47,F4,1
48,F4,1
49,F4,1
50,F4,1
51,F4,1
52,F4,0
53,F4,1
54,F4,1
55,F4,1
56,F4,1
57,F4,1
58,F4,1
59,F4,1
60,F4,1
61,F4,1
62,F4,1
63,F4,1
64,F4,1
65,F4,1
66,F4,1
67,F4,1
68,F4,1
69,F4,1
70,F4,1
71,F4,1
72,F4,0
73,F4,1
74,F4,1
75,F4,1
76,F4,1
77,F4,1
78,F4,1
79,F4,1
80,F4,1
81,F4,1
82,F4,1
