"","OBJECTID","CLASS_ID","UFID","dist","nnid","Nesting","observed","coords.x1","coords.x2","optional"
"1",1,0,"F1_1",0.0666880155614562,"F3_29",1,1,285265.1498,4425732.7032,TRUE
"2",2,0,"F1_2",1.31323618687646,"F3_0",0,0,285271.5942,4425732.0105,TRUE
"3",3,0,"F1_3",0.29787144895161,"F3_32",1,1,285264.8453,4425731.9483,TRUE
"4",4,0,"F1_4",0.285598626286478,"F3_34",1,1,285265.7122,4425731.7681,TRUE
"5",5,0,"F1_5",0.207078584752736,"F3_36",1,1,285267.0789,4425731.4902,TRUE
"6",6,0,"F1_6",0.0851256783830329,"F3_39",1,1,285267.9635,4425731.0955,TRUE
"7",7,0,"F1_7",0.192787439229858,"F3_0",1,1,285272.013,4425730.8406,TRUE
"8",8,0,"F1_8",0.262515292298896,"F3_43",1,1,285264.985,4425730.757,TRUE
"9",9,0,"F1_9",0.190313067841816,"F3_1",1,1,285269.5941,4425730.6257,TRUE
"10",10,0,"F1_10",0.363589183520657,"F3_2",1,1,285270.5221,4425730.6539,TRUE
"11",11,0,"F1_11",0.282260750121684,"F3_3",1,1,285273.1807,4425730.382,TRUE
"12",12,0,"F1_12",0.310361957593766,"F3_46",1,1,285267.5834,4425730.3521,TRUE
"13",13,0,"F1_13",0.192500076975941,"F3_4",1,1,285268.5528,4425729.9708,TRUE
"14",14,0,"F1_14",0.195492541514004,"F3_5",1,1,285271.9132,4425729.8259,TRUE
"15",15,0,"F1_15",0.175878469846686,"F3_6",1,1,285269.805,4425729.873,TRUE
"16",16,0,"F1_16",0.250733784154514,"F3_7",1,1,285270.691,4425729.8137,TRUE
"17",17,0,"F1_17",0.156159314550976,"F3_49",1,1,285265.5137,4425729.6459,TRUE
"18",18,0,"F1_18",0.328983693314344,"F3_8",1,1,285273.4296,4425729.5276,TRUE
"19",19,0,"F1_19",0.245663586576985,"F3_51",1,1,285268.1273,4425729.3956,TRUE
"20",20,0,"F1_20",0.244781121582636,"F3_56",1,1,285266.3443,4425728.904,TRUE
"21",21,0,"F1_21",0.375940803120203,"F3_9",1,1,285272.4676,4425728.959,TRUE
"22",22,0,"F1_22",0.0987392632002033,"F3_11",1,1,285269.6534,4425728.5309,TRUE
"23",23,0,"F1_23",0.241276779009174,"F3_10",1,1,285270.7227,4425728.6193,TRUE
"24",24,0,"F1_24",0.137932438062539,"F3_57",1,1,285264.8973,4425728.5088,TRUE
"25",25,0,"F1_25",0.28758774267703,"F3_58",1,1,285267.6958,4425728.0974,TRUE
"26",26,0,"F1_26",0.300354111484338,"F3_12",1,1,285268.6971,4425728.0307,TRUE
"27",27,0,"F1_27",0.308942563266317,"F3_13",1,1,285271.8022,4425727.851,TRUE
"28",28,0,"F1_28",0.308871386329353,"F3_14",1,1,285275.7533,4425727.7898,TRUE
"29",29,0,"F1_29",0.103027240723771,"F3_62",1,1,285265.5551,4425727.8816,TRUE
"30",30,0,"F1_30",0.286876007389611,"F3_15",1,1,285274.4844,4425727.5789,TRUE
"31",31,0,"F1_31",0.26984544039572,"F3_64",1,1,285266.8449,4425727.5523,TRUE
"32",32,0,"F1_32",0.19021194485274,"F3_16",1,1,285270.4761,4425727.3522,TRUE
"33",33,0,"F1_33",0.338204114398494,"F3_22",1,1,285260.5184,4425735.0435,TRUE
"34",34,0,"F1_34",0.153138808320765,"F3_23",1,1,285259.3712,4425734.0111,TRUE
"35",35,0,"F1_35",0.202167256133587,"F3_25",1,1,285260.1758,4425733.7986,TRUE
"36",36,0,"F1_36",0.185282183087379,"F3_24",1,1,285258.0847,4425733.7442,TRUE
"37",37,0,"F1_37",0.300768131735341,"F3_26",1,1,285257.2759,4425733.5434,TRUE
"38",38,0,"F1_38",0.26348994671197,"F3_74",1,1,285255.4464,4425733.1139,TRUE
"39",39,0,"F1_39",0.218888502113164,"F3_27",1,1,285264.0372,4425732.9403,TRUE
"40",40,0,"F1_40",0.16596597586627,"F3_28",1,1,285260.2679,4425732.9242,TRUE
"41",41,0,"F1_41",0.214532309158093,"F3_30",1,1,285258.0256,4425732.7605,TRUE
"42",42,0,"F1_42",0.289071600132345,"F3_75",1,1,285253.1316,4425732.7091,TRUE
"43",43,0,"F1_43",0.0806866062804698,"F3_77",1,1,285255.7346,4425732.2937,TRUE
"44",44,0,"F1_44",0.180991316591961,"F3_31",1,1,285262.5481,4425732.3131,TRUE
"45",45,0,"F1_45",0.209306928118031,"F3_80",1,1,285252.1801,4425731.9582,TRUE
"46",46,0,"F1_46",0.212343531520354,"F3_81",1,1,285254.8697,4425731.8705,TRUE
"47",47,0,"F1_47",0.120055153908464,"F3_79",1,1,285253.9246,4425731.838,TRUE
"48",48,0,"F1_48",0.186479767857915,"F3_33",1,1,285260.3717,4425731.8213,TRUE
"49",49,0,"F1_49",0.197544677148169,"F3_82",1,1,285251.1213,4425731.6818,TRUE
"50",50,0,"F1_50",0.278398828047865,"F3_35",1,1,285261.7922,4425731.6202,TRUE
"51",51,0,"F1_51",0.170051987397689,"F3_37",1,1,285258.7992,4425731.3922,TRUE
"52",52,0,"F1_52",0.116443334282935,"F3_40",1,1,285262.8873,4425731.1819,TRUE
"53",53,0,"F1_53",0.15245573582488,"F3_38",1,1,285260.8652,4425731.2244,TRUE
"54",54,0,"F1_54",0.136110872990393,"F3_41",1,1,285264.0826,4425731.0004,TRUE
"55",55,0,"F1_55",0.236300178828452,"F3_42",1,1,285259.6442,4425730.8638,TRUE
"56",56,0,"F1_56",0.296102743746431,"F3_84",1,1,285255.4036,4425730.6051,TRUE
"57",57,0,"F1_57",0.245852894714415,"F3_45",1,1,285257.3113,4425730.2236,TRUE
"58",58,0,"F1_58",0.0553207486292354,"F3_47",1,1,285264.348,4425729.9373,TRUE
"59",59,0,"F1_59",0.150701316766238,"F3_48",1,1,285259.7294,4425729.9563,TRUE
"60",60,0,"F1_60",0.223188233522914,"F3_89",1,1,285252.757,4425729.9117,TRUE
"61",61,0,"F1_61",0.179888561098215,"F3_50",1,1,285258.3643,4425729.5984,TRUE
"62",62,0,"F1_62",0.278933003869926,"F3_90",1,1,285251.5395,4425729.6656,TRUE
"63",63,0,"F1_63",0.151070872206187,"F3_92",1,1,285255.1771,4425729.479,TRUE
"64",64,0,"F1_64",0.123410882072875,"F3_91",1,1,285253.6066,4425729.5203,TRUE
"65",65,0,"F1_65",0.311090809850011,"F3_52",1,1,285260.7906,4425729.4567,TRUE
"66",66,0,"F1_66",0.417403420730394,"F3_53",1,1,285262.0464,4425729.2619,TRUE
"67",67,0,"F1_67",0.265794780158735,"F3_94",1,1,285252.8054,4425729.0999,TRUE
"68",68,0,"F1_68",0.388004663802126,"F3_54",1,1,285257.8386,4425729.0145,TRUE
"69",69,0,"F1_69",0.186377825815429,"F3_55",1,1,285263.2666,4425728.8173,TRUE
"70",70,0,"F1_70",0.146035762809114,"F3_95",1,1,285251.766,4425728.8114,TRUE
"71",71,0,"F1_71",0.264510284757259,"F3_99",1,1,285256.4371,4425728.4155,TRUE
"72",72,0,"F1_72",0.182298101252494,"F3_59",1,1,285257.5553,4425728.1975,TRUE
"73",73,0,"F1_73",0.206706212994926,"F3_61",1,1,285261.4967,4425728.0234,TRUE
"74",74,0,"F1_74",0.152821211055603,"F3_60",1,1,285263.7456,4425727.8928,TRUE
"75",75,0,"F1_75",0.266348889956926,"F3_101",1,1,285252.9703,4425727.9466,TRUE
"76",76,0,"F1_76",0.344073640926302,"F3_63",1,1,285262.6379,4425727.7576,TRUE
"77",77,0,"F1_77",0.259196154969632,"F3_67",1,1,285256.8984,4425727.3196,TRUE
"78",78,0,"F1_78",0.225548126197091,"F3_65",1,1,285260.9654,4425727.2429,TRUE
"79",79,0,"F1_79",0.236031568429724,"F3_76",1,1,285250.1608,4425732.2469,TRUE
"80",80,0,"F1_80",0.124468443287012,"F3_78",1,1,285248.9578,4425732.0774,TRUE
"81",81,0,"F1_81",0.286913093740125,"F3_86",1,0,285248.1345,4425731.219,TRUE
"82",82,0,"F1_82",0.30587236876148,"F3_83",1,1,285250.1116,4425731.0454,TRUE
"83",83,0,"F1_83",0.222165439558108,"F3_1856",1,1,285248.1801,4425730.381,TRUE
"84",84,0,"F1_84",0.289820157177547,"F3_87",1,1,285247.219,4425730.1408,TRUE
"85",85,0,"F1_85",0.211992534645171,"F3_88",1,1,285250.3472,4425730.0112,TRUE
"86",86,0,"F1_86",0.0864207747929863,"F3_93",1,1,285249.7281,4425729.1046,TRUE
"87",87,0,"F1_87",0.267716204691924,"F3_97",1,1,285247.5101,4425728.5458,TRUE
"88",88,0,"F1_88",0.253925586840498,"F3_96",1,1,285250.6175,4425728.3349,TRUE
"89",89,0,"F1_89",0.35456405152796,"F3_98",1,1,285245.6585,4425728.1966,TRUE
"90",90,0,"F1_90",0.120229003774266,"F3_102",1,1,285249.8781,4425727.3489,TRUE
"91",91,0,"F1_91",0.183377004508593,"F3_108",1,1,285243.4811,4425727.2916,TRUE
"92",92,0,"F1_92",0.234681038302585,"F3_430",1,1,285293.2188,4425714.3392,TRUE
"93",93,0,"F1_93",0.165283845158901,"F3_433",1,1,285297.1262,4425713.6202,TRUE
"94",94,0,"F1_94",0.318110009482215,"F3_434",1,1,285293.6221,4425713.4185,TRUE
"95",95,0,"F1_95",0.0915200581483877,"F3_435",1,1,285301.9955,4425713.2928,TRUE
"96",96,0,"F1_96",0.22099363560292,"F3_436",1,1,285296.4714,4425713.2165,TRUE
"97",97,0,"F1_97",0.143073656600675,"F3_160",1,1,285279.4198,4425725.6491,TRUE
"98",98,0,"F1_98",0.238310246365807,"F3_174",1,1,285278.6739,4425723.9984,TRUE
"99",99,0,"F1_99",0.240385653882511,"F3_112",1,1,285279.911,4425723.7007,TRUE
"100",100,0,"F1_100",0.221874232237004,"F3_111",1,1,285282.3503,4425723.6432,TRUE
"101",101,0,"F1_101",0.330971560458802,"F3_180",1,1,285279.2029,4425722.8498,TRUE
"102",102,0,"F1_102",0.165583762801769,"F3_113",1,1,285283.5484,4425722.597,TRUE
"103",103,0,"F1_103",0.183789159053992,"F3_115",1,1,285280.3294,4425722.6051,TRUE
