"","PCC","PCC.sd","Kappa","Kappa.sd","sensitivity","sensitivity.sd","specificity","specificity.sd","AUC","AUC.sd","nestimate","colony","flight"
"1",0.742696629213483,0.0146614722860041,0.149310048334182,0.0342837580734737,0.927927927927928,0.0100283574243513,0.191964285714286,0.0263738216725704,0.559946106821107,0.0141080333697426,799,"arocksmush","f1"
"11",0.789672544080604,0.0144722118043267,0.131882520852156,0.0421212059497993,0.899399399399399,0.0116644901502492,0.21875,0.0366831976276466,0.5590746996997,0.019246540719401,699,"arocksmush","f3"
"12",0.836411609498681,0.0134443040634195,0.218348745925088,0.0486831608442361,0.90990990990991,0.0111026560364687,0.304347826086957,0.0482347996717591,0.607128867998433,0.0247480548247679,670,"arocksmush","f4"
"13",0.886889460154242,0.011362549155998,0.154681943895693,0.0540596564904947,0.949579831932773,0.00819451247295556,0.1875,0.0491747370293402,0.568539915966387,0.0249264156898569,730,"afisseast","f1"
"14",0.927613941018767,0.0094936444615833,0.190889370932754,0.0686932240636149,0.957983193277311,0.00751355900821108,0.25,0.0777713771047819,0.603991596638655,0.0390667399002785,708,"afisseast","f3"
"15",0.911957950065703,0.0102784039935595,0.183515621246818,0.0621457811884251,0.957983193277311,0.00751355900821108,0.212765957446809,0.0603426096477352,0.58537457536206,0.0304042929044108,721,"afisseast","f4"
"16",0.896755162241888,0.00826611547933176,0.178885630498534,0.0429030866885228,0.961383748994369,0.00546729672372912,0.185840707964602,0.0367549728447702,0.573612228479485,0.0185796889255788,1287,"amushfiss","f1"
"17",0.918773946360153,0.00756507463144974,0.178094400608424,0.0489353626107591,0.952534191472245,0.00603350852152853,0.241935483870968,0.0548324879041207,0.597234837671606,0.0275817192848583,1231,"amushfiss","f3"
"18",0.914569031273837,0.00772289736737957,0.119173595364072,0.0447579814324988,0.955752212389381,0.0058352254282813,0.161764705882353,0.0449870438750332,0.558758459135867,0.0226819530266522,1245,"amushfiss","f4"
"19",0.961904761904762,0.00763266252687317,0.275653923541249,0.103341516319589,0.974068071312804,0.00640356330411961,0.384615384615385,0.140441681411581,0.679341727964094,0.0702937968470581,609,"d","f1"
"110",0.963258785942492,0.00752502993983023,0.288143973103926,0.104378477143489,0.969205834683955,0.00696068326557051,0.555555555555556,0.175682092231577,0.762380695119755,0.0879099662188363,602,"d","f3"
"111",0.953525641025641,0.00843390818511382,0.0479797979797985,0.061173634737754,0.962722852512156,0.00763276023703493,0.142857142857143,0.142857142857143,0.552789997684649,0.0715304520713769,600,"d","f4"
"112",0.951289398280802,0.00665583019053165,0.138910838399638,0.0653273627653837,0.973477406679764,0.00503860664237283,0.172413793103448,0.0713860923457608,0.572945599891606,0.0357818450380009,1015,"sslope","f1"
"113",0.96046287367406,0.00605428642689037,0.108190875721029,0.0673410132489036,0.975442043222004,0.00485329146964892,0.157894736842105,0.085947008518708,0.566668390032055,0.043041964149549,1009,"sslope","f3"
"114",0.953199617956065,0.00653056545536478,0.172679040815338,0.0695214198525256,0.974459724950884,0.00494691280620789,0.206896551724138,0.0765530555069953,0.590678138337511,0.0383563627504269,1015,"sslope","f4"
