"","Kappa","Kappa.sd","sensitivity","sensitivity.sd","specificity","specificity.sd","AUC","AUC.sd","colony","flight"
"1",1,0,1,0,1,0,1,0,"bsouth","f1f3f4"
"2",1,0,1,0,1,0,1,0,"bsouth","f3f1f4"
"3",1,0,1,0,1,0,1,0,"bsouth","f3f4f1"
"4",1,0,1,0,1,0,1,0,"bsouth","f4f3f1"
"5",1,0,1,0,1,0,1,0,"bsouth","f4f1f3"
"6",1,0,1,0,1,0,1,0,"bnorth","f1f3f4"
"7",1,0,1,0,1,0,1,0,"bnorth","f3f1f4"
"8",1,0,1,0,1,0,1,0,"bnorth","f4f1f3"
"9",1,0,1,0,1,0,1,0,"bnorth","f1f4f3"
"10",1,0,1,0,1,0,1,0,"bnorth","f3f4f1"
"11",1,0,1,0,1,0,1,0,"bnorth","f4f3f1"
"12",1,0,1,0,1,0,1,0,"c","f1f3f4"
"13",0.964901844140392,0.0350552916328904,0.998768472906404,0.00123152709359607,1,0,0.999384236453202,0.00061576354679803,"c","f3f1f4"
"14",0.96908140403286,0.0308851466081974,0.998768472906404,0.00123152709359607,1,0,0.999384236453202,0.00061576354679803,"c","f4f1f3"
"15",1,0,1,0,1,0,1,0,"c","f1f4f3"
"16",0.964901844140392,0.0350552916328904,0.998768472906404,0.00123152709359607,1,0,0.999384236453202,0.00061576354679803,"c","f3f4f1"
"17",0.96908140403286,0.0308851466081974,0.998768472906404,0.00123152709359607,1,0,0.999384236453202,0.00061576354679803,"c","f4f3f1"
"18",0.955933592949374,0.0439979985608977,0.998822143698469,0.00117785630153122,1,0,0.999411071849234,0.000588928150765607,"saddle","f1f3f4"
"19",0.946780796427242,0.0531128055928733,0.998822143698469,0.00117785630153122,1,0,0.999411071849234,0.000588928150765607,"saddle","f3f1f4"
"110",0.955933592949374,0.0439979985608977,0.998822143698469,0.00117785630153122,1,0,0.999411071849234,0.000588928150765607,"saddle","f1f4f3"
"21",1,0,1,0,1,0,1,0,"saddle","f4f1f3"
"22",1,0,1,0,1,0,1,0,"saddle","f4f3f1"
"111",0.946780796427242,0.0531128055928733,0.998822143698469,0.00117785630153122,1,0,0.999411071849234,0.000588928150765607,"saddle","f3f4f1"
