"","PCC","PCC.sd","Kappa","Kappa.sd","sensitivity","sensitivity.sd","specificity","specificity.sd","AUC","AUC.sd","nestimate","colony","flight"
"1",1,0,1,0,1,0,1,0,1,0,811,"c","f1f3f4"
"110",0.998789346246973,0.00121065375302664,0.964901844140392,0.0350552916328904,0.998768472906404,0.00123152709359607,1,0,0.999384236453202,0.00061576354679803,811,"c","f3f1f4"
"111",0.998789346246973,0.00121065375302664,0.964901844140392,0.0350552916328904,0.998768472906404,0.00123152709359607,1,0,0.999384236453202,0.00061576354679803,811,"c","f3f4f1"
"112",0.998792270531401,0.00120772946859904,0.96908140403286,0.0308851466081974,0.998768472906404,0.00123152709359607,1,0,0.999384236453202,0.00061576354679803,811,"c","f4f3f1"
"113",0.998792270531401,0.00120772946859904,0.96908140403286,0.0308851466081974,0.998768472906404,0.00123152709359607,1,0,0.999384236453202,0.00061576354679803,811,"c","f4f1f3"
"6",1,0,1,0,1,0,1,0,1,0,811,"c","f1f4f3"
"7",1,0,1,0,1,0,1,0,1,0,73,"bsouth","f1f343"
"8",1,0,1,0,1,0,1,0,1,0,73,"bsouth","f1f3f4"
"9",1,0,1,0,1,0,1,0,1,0,73,"bsouth","f3f1f4"
"10",1,0,1,0,1,0,1,0,1,0,73,"bsouth","f3f4f1"
"11",1,0,1,0,1,0,1,0,1,0,73,"bsouth","f4f3f1"
"12",1,0,1,0,1,0,1,0,1,0,73,"bsouth","f4f1f3"
"13",1,0,1,0,1,0,1,0,1,0,327,"bnorth","f4f1f3"
"14",1,0,1,0,1,0,1,0,1,0,327,"bnorth","f1f4f3"
"15",1,0,1,0,1,0,1,0,1,0,327,"bnorth","f3f4f1"
"16",1,0,1,0,1,0,1,0,1,0,327,"bnorth","f3f1f4"
"17",1,0,1,0,1,0,1,0,1,0,327,"bnorth","f1f3f4"
"18",1,0,1,0,1,0,1,0,1,0,327,"bnorth","f4f3f1"
"19",1,0,1,0,1,0,1,0,1,0,848,"saddle","f4f3f1"
"20",1,0,1,0,1,0,1,0,1,0,848,"saddle","f4f1f3"
"114",0.998834498834499,0.00116550116550117,0.946780796427242,0.0531128055928733,0.998822143698469,0.00117785630153122,1,0,0.999411071849234,0.000588928150765607,848,"saddle","f3f1f4"
"115",0.998834498834499,0.00116550116550117,0.946780796427242,0.0531128055928733,0.998822143698469,0.00117785630153122,1,0,0.999411071849234,0.000588928150765607,848,"saddle","f3f4f1"
"116",0.998837209302326,0.00116279069767443,0.955933592949374,0.0439979985608977,0.998822143698469,0.00117785630153122,1,0,0.999411071849234,0.000588928150765607,848,"saddle","f1f4f3"
"117",0.998837209302326,0.00116279069767443,0.955933592949374,0.0439979985608977,0.998822143698469,0.00117785630153122,1,0,0.999411071849234,0.000588928150765607,848,"saddle","f1f3f4"
"118",0.95515216230646,0.0047835918108798,0.57647248842468,0.0409119792577516,0.953616786305908,0.00494342641708766,1,0,0.976808393152954,0.00247171320854383,1727,"bluffn","f1f3f4"
"119",0.95515216230646,0.0047835918108798,0.57647248842468,0.0409119792577516,0.953616786305908,0.00494342641708766,1,0,0.976808393152954,0.00247171320854383,1727,"bluffn","f1f4f3"
"120",0.954153182308522,0.00485876550844737,0.479313284301092,0.0470983502743938,0.953090507726269,0.00496864780049931,1,0,0.976545253863135,0.00248432390024966,1727,"bluffn","f3f4f1"
"121",0.954153182308522,0.00485876550844737,0.479313284301092,0.0470983502743938,0.953090507726269,0.00496864780049931,1,0,0.976545253863135,0.00248432390024966,1727,"bluffn","f3f1f4"
"122",0.95256064690027,0.00493697390802359,0.469648728378536,0.0468910728238679,0.952512424075097,0.00499903339041631,0.954545454545455,0.031765283723714,0.953528939310276,0.0160781185535384,1727,"bluffn","f4f1f3"
"123",0.95256064690027,0.00493697390802359,0.469648728378536,0.0468910728238679,0.952512424075097,0.00499903339041631,0.954545454545455,0.031765283723714,0.953528939310276,0.0160781185535384,1727,"bluffn","f4f3f1"
