"","PCC","PCC.sd","Kappa","Kappa.sd","sensitivity","sensitivity.sd","specificity","specificity.sd","AUC","AUC.sd","nestimate","colony","flight"
"1",0.998525073746313,0.00104254543955179,0.990422984836393,0.00676666610494836,0.998390989541432,0.00113728408575727,1,0,0.999195494770716,0.000568642042878634,1241,"amushfiss","f1f3f4"
"11",0.998525073746313,0.00104254543955179,0.990422984836393,0.00676666610494836,0.998390989541432,0.00113728408575727,1,0,0.999195494770716,0.000568642042878634,1241,"amushfiss","f1f4f3"
"12",0.998467432950192,0.00108327294909642,0.983322044295628,0.0117824162487401,0.998390989541432,0.00113728408575727,1,0,0.999195494770716,0.000568642042878634,1241,"amushfiss","f3f4f1"
"13",0.998467432950192,0.00108327294909642,0.983322044295628,0.0117824162487401,0.998390989541432,0.00113728408575727,1,0,0.999195494770716,0.000568642042878634,1241,"amushfiss","f3f1f4"
"14",0.998474446987033,0.00107831707334416,0.984702271905156,0.0108076082499426,0.998390989541432,0.00113728408575727,1,0,0.999195494770716,0.000568642042878634,1241,"amushfiss","f4f1f3"
"15",0.998474446987033,0.00107831707334416,0.984702271905156,0.0108076082499426,0.998390989541432,0.00113728408575727,1,0,0.999195494770716,0.000568642042878634,1241,"amushfiss","f4f3f1"
"16",0.997429305912596,0.00181658511830215,0.983213222284555,0.0118531069809052,0.997198879551821,0.00197930179240899,1,0,0.99859943977591,0.000989650896204499,712,"afisseast","f1f3f4"
"17",0.997429305912596,0.00181658511830215,0.983213222284555,0.0118531069809052,0.997198879551821,0.00197930179240899,1,0,0.99859943977591,0.000989650896204499,712,"afisseast","f1f4f3"
"18",0.997319034852547,0.0018944559075575,0.968295792605185,0.0223769339369361,0.997198879551821,0.00197930179240899,1,0,0.99859943977591,0.000989650896204499,712,"afisseast","f3f4f1"
"19",0.997319034852547,0.0018944559075575,0.968295792605185,0.0223769339369361,0.997198879551821,0.00197930179240899,1,0,0.99859943977591,0.000989650896204499,712,"afisseast","f3f1f4"
"110",0.997371879106439,0.00185713909652864,0.977764791818846,0.0156981103117881,0.997198879551821,0.00197930179240899,1,0,0.99859943977591,0.000989650896204499,712,"afisseast","f4f1f3"
"111",0.997371879106439,0.00185713909652864,0.977764791818846,0.0156981103117881,0.997198879551821,0.00197930179240899,1,0,0.99859943977591,0.000989650896204499,712,"afisseast","f4f3f1"
