PCC,PCC.sd,Kappa,Kappa.sd,sensitivity,sensitivity.sd,specificity,specificity.sd,AUC,AUC.sd,nestimate,colony,flight,Method,Method1,Observed,RMSE,NSSDA
0.997578692,0.001711085,0.927339901,0.051189312,0.998768473,0.001231527,0.928571429,0.071428571,0.963669951,0.035719594,812,c,f3f1,24hours,AcrossDay,812,0.2384424,0.4126962
0.99759904,0.001696715,0.951149425,0.034463851,0.998768473,0.001231527,0.952380952,0.047619048,0.975574713,0.023817485,812,c,f1f3,24hours,AcrossDay,812,0.2384424,0.4126962
0.997584541,0.001706954,0.932108888,0.047837623,1,0,0.875,0.085391256,0.9375,0.042695628,814,c,f4f3,2hours,SameDay,812,0.21281844,0.36834615
0.998792271,0.001207729,0.967127203,0.032835184,1,0,0.9375,0.0625,0.96875,0.03125,813,c,f4f1,26hours,AcrossDay,812,0.18507897,0.32033468
0.99879952,0.00120048,0.974994747,0.024982426,1,0,0.952380952,0.047619048,0.976190476,0.023809524,813,c,f1f4,26hours,AcrossDay,812,0.18507897,0.32033468
0.997578692,0.001711085,0.921854305,0.055021638,1,0,0.857142857,0.097052317,0.928571429,0.048526159,814,c,f3f4,2hours,SameDay,812,0.21281844,0.36834615
0.987341772,0.012658228,0.902348578,0.096567662,1,0,0.833333333,0.166666667,0.916666667,0.083333333,74,bsouth,f1f3,24hours,AcrossDay,73,0.20286694,0.3511221
0.987341772,0.012658228,0.902348578,0.096567662,1,0,0.833333333,0.166666667,0.916666667,0.083333333,74,bsouth,f1f4,26hours,AcrossDay,73,0.19569966,0.33871697
0.987951807,0.012048193,0.940586972,0.058949714,1,0,0.9,0.1,0.95,0.05,74,bsouth,f4f1,26hours,AcrossDay,73,0.19569966,0.33871697
0.987951807,0.012048193,0.940586972,0.058949714,1,0,0.9,0.1,0.95,0.05,74,bsouth,f4f3,2hours,SameDay,73,0.08464723,0.14650742
0.986842105,0.013157895,0.793478261,0.200735739,1,0,0.666666667,0.333333333,0.833333333,0.166666667,74,bsouth,f3f1,24hours,AcrossDay,73,0.20286694,0.3511221
0.986842105,0.013157895,0.793478261,0.200735739,1,0,0.666666667,0.333333333,0.833333333,0.166666667,74,bsouth,f3f4,2hours,SameDay,73,0.08464723,0.14650742
1,0,1,0,1,0,1,0,1,0,327,bnorth,f1f3,24hours,AcrossDay,327,0.05384301,0.09319149
1,0,1,0,1,0,1,0,1,0,327,bnorth,f1f4,26hours,AcrossDay,327,0.09486065,0.16418481
1,0,1,0,1,0,1,0,1,0,327,bnorth,f4f1,26hours,AcrossDay,327,0.09486065,0.16418481
0.996978852,0.003021148,0.855647623,0.142624546,1,0,0.75,0.25,0.875,0.125,328,bnorth,f4f3,2hours,SameDay,327,0.11240223,0.19454579
1,0,1,0,1,0,1,0,1,0,327,bnorth,f3f1,24hours,AcrossDay,327,0.05384301,0.09319149
0.997005988,0.002994012,0.921559418,0.078081739,1,0,0.857142857,0.142857143,0.928571429,0.071428571,328,bnorth,f3f4,2hours,SameDay,327,0.11240223,0.19454579
1,0,1,0,1,0,1,0,1,0,849,saddle,f1f3,24hours,AcrossDay,849,0.28304801,0.4898995
1,0,1,0,1,0,1,0,1,0,849,saddle,f1f4,26hours,AcrossDay,849,0.09486065,0.16418481
1,0,1,0,1,0,1,0,1,0,849,saddle,f4f1,26hours,AcrossDay,849,0.09486065,0.16418481
0.996515679,0.002009333,0.867802856,0.075551766,0.998822144,0.001177856,0.833333333,0.112366644,0.916077739,0.056186408,850,saddle,f4f3,2hours,SameDay,849,0.47490291,0.82196196
1,0,1,0,1,0,1,0,1,0,849,saddle,f3f1,24hours,AcrossDay,849,0.28304801,0.4898995
