"","OBJECTID","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"1",1,0,"F1_","F1_1",0.315684040305193,"F3_0",1,285241.098,4426055.6865,TRUE
"2",2,0,"F1_","F1_2",0.114236632244461,"F3_1",1,285240.2213,4426055.6754,TRUE
"3",3,0,"F1_","F1_3",0.324410952440503,"F3_6",1,285239.371,4426055.0284,TRUE
"4",4,0,"F1_","F1_4",0.290827438525311,"F3_7",1,285241.5535,4426054.7975,TRUE
"5",5,0,"F1_","F1_5",0.0940608941712613,"F3_9",1,285240.4553,4426054.6673,TRUE
"6",6,0,"F1_","F1_6",0.123686111029744,"F3_8",1,285238.3373,4426054.5375,TRUE
"7",7,0,"F1_","F1_7",0.128807264199292,"F3_10",1,285242.3525,4426054.2191,TRUE
"8",8,0,"F1_","F1_8",0.213601670480453,"F3_11",1,285237.6749,4426054.2101,TRUE
"9",9,0,"F1_","F1_9",0.0958866981855016,"F3_12",1,285243.4852,4426053.5759,TRUE
"10",10,0,"F1_","F1_10",0.267265683016085,"F3_14",1,285241.0293,4426053.4873,TRUE
"11",11,0,"F1_","F1_11",0.376323542040265,"F3_13",1,285237.6957,4426053.1634,TRUE
"12",12,0,"F1_","F1_12",0.0616564613295077,"F3_15",1,285238.3722,4426052.2135,TRUE
"13",13,0,"F1_","F1_13",0.097610686583281,"F3_16",1,285239.0638,4426051.3832,TRUE
"14",14,0,"F1_","F1_14",0.130526333182248,"F3_17",1,285239.8119,4426050.8115,TRUE
"15",15,0,"F1_","F1_15",0.42529616254918,"F3_33",1,285250.8465,4426038.9144,TRUE
"16",16,0,"F1_","F1_16",0.290147049207314,"F3_35",1,285251.6667,4426038.2037,TRUE
"17",17,0,"F1_","F1_17",0.163699224723229,"F3_39",1,285253.2266,4426037.5534,TRUE
"18",18,0,"F1_","F1_18",0.425495359427657,"F3_46",1,285251.7622,4426036.8705,TRUE
"19",19,0,"F1_","F1_19",0.268868335856923,"F3_48",1,285252.8958,4426036.525,TRUE
"20",20,0,"F1_","F1_20",0.201432082512253,"F3_51",1,285251.1874,4426036.4038,TRUE
"21",21,0,"F1_","F1_21",0.148969380434411,"F3_53",1,285255.4191,4426036.0749,TRUE
"22",22,0,"F1_","F1_22",0.28798950319966,"F3_28",1,285257.511,4426035.7492,TRUE
"23",23,0,"F1_","F1_23",0.0574249999893454,"F3_18",1,285244.9687,4426047.2059,TRUE
"24",24,0,"F1_","F1_24",0.146582891881415,"F3_20",1,285243.6193,4426047.1419,TRUE
"25",25,0,"F1_","F1_25",0.0830329840737738,"F3_19",1,285241.5486,4426046.9749,TRUE
"26",26,0,"F1_","F1_26",0.300514841212434,"F3_2",1,285246.0983,4426046.9274,TRUE
"27",27,0,"F1_","F1_27",0.129869127247692,"F3_21",1,285242.5335,4426046.7241,TRUE
"28",28,0,"F1_","F1_28",0.333370107029493,"F3_3",1,285245.1391,4426046.0536,TRUE
"29",29,0,"F1_","F1_29",0.275719708346847,"F3_22",1,285243.9807,4426046.0892,TRUE
"30",30,0,"F1_","F1_30",0.154553667844997,"F3_23",1,285240.4137,4426045.8098,TRUE
"31",31,0,"F1_","F1_31",0.296392970615393,"F3_24",1,285242.9683,4426045.7435,TRUE
"32",32,0,"F1_","F1_32",0.252065118791423,"F3_4",1,285246.4119,4426045.674,TRUE
"33",33,0,"F1_","F1_33",0.289611180232944,"F3_25",1,285241.3038,4426045.5999,TRUE
"34",34,0,"F1_","F1_34",0.80841130864997,"F3_25",0,285242.3108,4426045.1656,TRUE
"35",35,0,"F1_","F1_35",0.355795910167819,"F3_26",1,285243.7302,4426044.8954,TRUE
"36",36,0,"F1_","F1_36",0.109374577500992,"F3_27",1,285243.0337,4426044.175,TRUE
"37",37,0,"F1_","F1_37",0.274279698883845,"F3_29",1,285245.7845,4426043.7857,TRUE
"38",38,0,"F1_","F1_38",0.229393305630538,"F3_61",1,285244.7152,4426043.6459,TRUE
"39",39,0,"F1_","F1_39",0.156483527791076,"F3_62",1,285243.7156,4426043.7306,TRUE
"40",40,0,"F1_","F1_40",0.202728326109482,"F3_30",1,285245.7072,4426042.7582,TRUE
"41",41,0,"F1_","F1_41",0.102471005782885,"F3_5",1,285244.3297,4426042.7016,TRUE
"42",42,0,"F1_","F1_42",0.107624498071103,"F3_65",1,285243.0123,4426041.0374,TRUE
"43",43,0,"F1_","F1_43",0.248331572269998,"F3_64",1,285244.1063,4426040.8035,TRUE
"44",44,0,"F1_","F1_44",0.363584813768807,"F3_32",1,285245.6962,4426040.3713,TRUE
"45",45,0,"F1_","F1_45",0.155141590601377,"F3_66",1,285244.7912,4426040.0711,TRUE
"46",46,0,"F1_","F1_46",0.127934991959602,"F3_67",1,285245.0611,4426039.2432,TRUE
"47",47,0,"F1_","F1_47",0.36076723332526,"F3_34",1,285247.5475,4426039.0163,TRUE
"48",48,0,"F1_","F1_48",0.16340141205624,"F3_41",1,285248.1613,4426038.5482,TRUE
"49",49,0,"F1_","F1_49",0.161054068625252,"F3_36",1,285247.0268,4426038.2141,TRUE
"50",50,0,"F1_","F1_50",0.146373245884043,"F3_37",1,285245.5801,4426038.1547,TRUE
"51",51,0,"F1_","F1_51",0.112285027393186,"F3_38",1,285250.05,4426038.0822,TRUE
"52",52,0,"F1_","F1_52",0.104685507217345,"F3_42",1,285248.9097,4426037.3262,TRUE
"53",53,0,"F1_","F1_53",0.208808737522448,"F3_43",1,285246.2198,4426037.5119,TRUE
"54",54,0,"F1_","F1_54",0.405223212653962,"F3_40",1,285250.7176,4426037.3206,TRUE
"55",55,0,"F1_","F1_55",0.276588877210247,"F3_68",1,285244.9257,4426037.0661,TRUE
"56",56,0,"F1_","F1_56",0.271921247100294,"F3_69",1,285244.2037,4426037.0469,TRUE
"57",57,0,"F1_","F1_57",0.251822376944367,"F3_45",1,285247.0178,4426037.0871,TRUE
"58",58,0,"F1_","F1_58",0.145802612451982,"F3_47",1,285249.7271,4426036.5735,TRUE
"59",59,0,"F1_","F1_59",0.131890868581804,"F3_49",1,285248.8702,4426036.4546,TRUE
"60",60,0,"F1_","F1_60",0.23736607993816,"F3_50",1,285247.5944,4426036.3813,TRUE
"61",61,0,"F1_","F1_61",0.32592596114802,"F3_54",1,285245.3961,4426035.874,TRUE
"62",62,0,"F1_","F1_62",0.3616204840464,"F3_52",1,285246.8644,4426035.8991,TRUE
"63",63,0,"F1_","F1_63",0.0238006794176069,"F3_56",1,285249.403,4426035.5366,TRUE
"64",64,0,"F1_","F1_64",0.142921887398091,"F3_57",1,285247.4478,4426035.2538,TRUE
"65",65,0,"F1_","F1_65",0.214475961930914,"F3_59",1,285245.2687,4426034.7673,TRUE
"66",66,0,"F1_","F1_66",0.312850203664111,"F3_58",1,285248.7055,4426034.8902,TRUE
"67",67,0,"F1_","F1_67",0.237801805235382,"F3_70",1,285295.9792,4426023.9754,TRUE
"68",68,0,"F1_","F1_68",0.111188358910068,"F3_71",1,285292.6666,4426023.6241,TRUE
"69",69,0,"F1_","F1_69",0.0779439202148045,"F3_76",1,285293.7435,4426022.7471,TRUE
"70",70,0,"F1_","F1_70",0.11258559077222,"F3_75",1,285295.7137,4426022.7392,TRUE
"71",71,0,"F1_","F1_71",0.254285641175379,"F3_78",1,285294.6016,4426022.0428,TRUE
"72",72,0,"F1_","F1_72",0.0422190639158307,"F3_80",1,285292.7003,4426021.3372,TRUE
"73",73,0,"F1_","F1_73",0.195626003677993,"F3_198",1,285294.6924,4426020.8021,TRUE
"74",74,0,"F1_","F1_74",0.273210096451859,"F3_81",1,285289.4955,4426027.7762,TRUE
"75",75,0,"F1_","F1_75",0.14621442688029,"F3_82",1,285287.8034,4426026.9719,TRUE
"76",76,0,"F1_","F1_76",0.139391501761216,"F3_821",1,285290.9202,4426026.2733,TRUE
"77",77,0,"F1_","F1_77",0.194116439651874,"F3_84",1,285289.1183,4426025.8868,TRUE
"78",78,0,"F1_","F1_78",0.195269489545784,"F3_83",1,285288.3032,4426025.8863,TRUE
"79",79,0,"F1_","F1_79",0.181928925993312,"F3_86",1,285283.5495,4426025.6044,TRUE
"80",80,0,"F1_","F1_80",0.271016310450721,"F3_85",1,285284.9111,4426025.6041,TRUE
