"","OBJECTID","CLASS_ID","UFID","dist","nnid","Nesting","observed","coords.x1","coords.x2","optional"
"1",1,0,"F1_1",0.10381614716147,"F4_42",1,1,285265.1498,4425732.7032,TRUE
"2",2,0,"F1_2",1.23917043981109,"F4_10",0,0,285271.5942,4425732.0105,TRUE
"3",3,0,"F1_3",0.285319253060538,"F4_44",1,1,285264.8453,4425731.9483,TRUE
"4",4,0,"F1_4",0.247365208510024,"F4_43",1,1,285265.7122,4425731.7681,TRUE
"5",5,0,"F1_5",0.197204320690873,"F4_47",1,1,285267.0789,4425731.4902,TRUE
"6",6,0,"F1_6",0.149351306031307,"F4_9",1,1,285267.9635,4425731.0955,TRUE
"7",7,0,"F1_7",0.156789882263707,"F4_10",1,1,285272.013,4425730.8406,TRUE
"8",8,0,"F1_8",0.205183940242482,"F4_52",1,1,285264.985,4425730.757,TRUE
"9",9,0,"F1_9",0.0809274486428501,"F4_11",1,1,285269.5941,4425730.6257,TRUE
"10",10,0,"F1_10",0.39923851805267,"F4_12",1,1,285270.5221,4425730.6539,TRUE
"11",11,0,"F1_11",0.204190288661668,"F4_13",1,1,285273.1807,4425730.382,TRUE
"12",12,0,"F1_12",0.256416956812728,"F4_54",1,1,285267.5834,4425730.3521,TRUE
"13",13,0,"F1_13",0.224457827079677,"F4_15",1,1,285268.5528,4425729.9708,TRUE
"14",14,0,"F1_14",0.178583836450861,"F4_17",1,1,285271.9132,4425729.8259,TRUE
"15",15,0,"F1_15",0.161342627801983,"F4_14",1,1,285269.805,4425729.873,TRUE
"16",16,0,"F1_16",0.214967885829496,"F4_16",1,1,285270.691,4425729.8137,TRUE
"17",17,0,"F1_17",0.121914387482604,"F4_56",1,1,285265.5137,4425729.6459,TRUE
"18",18,0,"F1_18",0.233900721949999,"F4_18",1,1,285273.4296,4425729.5276,TRUE
"19",19,0,"F1_19",0.297665826338111,"F4_19",1,1,285268.1273,4425729.3956,TRUE
"20",20,0,"F1_20",0.241965005963314,"F4_60",1,1,285266.3443,4425728.904,TRUE
"21",21,0,"F1_21",0.130691952057883,"F4_20",1,1,285272.4676,4425728.959,TRUE
"22",22,0,"F1_22",0.114827936699241,"F4_22",1,1,285269.6534,4425728.5309,TRUE
"23",23,0,"F1_23",0.26443424146315,"F4_21",1,1,285270.7227,4425728.6193,TRUE
"24",24,0,"F1_24",0.181465314650864,"F4_62",1,1,285264.8973,4425728.5088,TRUE
"25",25,0,"F1_25",0.28305287388839,"F4_23",1,1,285267.6958,4425728.0974,TRUE
"26",26,0,"F1_26",0.235011664146233,"F4_24",1,1,285268.6971,4425728.0307,TRUE
"27",27,0,"F1_27",0.177924811215197,"F4_25",1,1,285271.8022,4425727.851,TRUE
"28",28,0,"F1_28",0.225087312777244,"F4_26",1,1,285275.7533,4425727.7898,TRUE
"29",29,0,"F1_29",0.203951908318961,"F4_65",1,1,285265.5551,4425727.8816,TRUE
"30",30,0,"F1_30",0.178142431275107,"F4_27",1,1,285274.4844,4425727.5789,TRUE
"31",31,0,"F1_31",0.316386191688207,"F4_67",1,1,285266.8449,4425727.5523,TRUE
"32",32,0,"F1_32",0.158236506016857,"F4_28",1,1,285270.4761,4425727.3522,TRUE
"33",33,0,"F1_33",0.333126096518596,"F4_0",1,1,285260.5184,4425735.0435,TRUE
"34",34,0,"F1_34",0.250570100961936,"F4_1",1,1,285259.3712,4425734.0111,TRUE
"35",35,0,"F1_35",0.203950437197819,"F4_2",1,1,285260.1758,4425733.7986,TRUE
"36",36,0,"F1_36",0.0581161247280152,"F4_3",1,1,285258.0847,4425733.7442,TRUE
"37",37,0,"F1_37",0.196012411064713,"F4_79",1,1,285257.2759,4425733.5434,TRUE
"38",38,0,"F1_38",0.161340032657178,"F4_80",1,1,285255.4464,4425733.1139,TRUE
"39",39,0,"F1_39",0.268285319268877,"F4_41",1,1,285264.0372,4425732.9403,TRUE
"40",40,0,"F1_40",0.0704004558730999,"F4_40",1,1,285260.2679,4425732.9242,TRUE
"41",41,0,"F1_41",0.203558661975159,"F4_82",1,1,285258.0256,4425732.7605,TRUE
"42",42,0,"F1_42",0.26294627948503,"F4_81",1,1,285253.1316,4425732.7091,TRUE
"43",43,0,"F1_43",0.111514144407285,"F4_83",1,1,285255.7346,4425732.2937,TRUE
"44",44,0,"F1_44",0.252316792988733,"F4_1803",1,1,285262.5481,4425732.3131,TRUE
"45",45,0,"F1_45",0.187133103701447,"F4_87",1,1,285252.1801,4425731.9582,TRUE
"46",46,0,"F1_46",0.159109185691504,"F4_85",1,1,285254.8697,4425731.8705,TRUE
"47",47,0,"F1_47",0.213331179967509,"F4_86",1,1,285253.9246,4425731.838,TRUE
"48",48,0,"F1_48",0.366794749449183,"F4_46",1,1,285260.3717,4425731.8213,TRUE
"49",49,0,"F1_49",0.268012597387549,"F4_88",1,1,285251.1213,4425731.6818,TRUE
"50",50,0,"F1_50",0.189564611267505,"F4_45",1,1,285261.7922,4425731.6202,TRUE
"51",51,0,"F1_51",0.216973552663717,"F4_48",1,1,285258.7992,4425731.3922,TRUE
"52",52,0,"F1_52",0.0503553765083151,"F4_50",1,1,285262.8873,4425731.1819,TRUE
"53",53,0,"F1_53",0.205704859636191,"F4_49",1,1,285260.8652,4425731.2244,TRUE
"54",54,0,"F1_54",0.112472813511246,"F4_1802",1,1,285264.0826,4425731.0004,TRUE
"55",55,0,"F1_55",0.173798674944414,"F4_51",1,1,285259.6442,4425730.8638,TRUE
"56",56,0,"F1_56",0.177455540662881,"F4_90",1,1,285255.4036,4425730.6051,TRUE
"57",57,0,"F1_57",0.277568883504058,"F4_91",1,1,285257.3113,4425730.2236,TRUE
"58",58,0,"F1_58",0.264869962206391,"F4_57",1,1,285264.348,4425729.9373,TRUE
"59",59,0,"F1_59",0.173326805934294,"F4_55",1,1,285259.7294,4425729.9563,TRUE
"60",60,0,"F1_60",0.176836362670673,"F4_94",1,1,285252.757,4425729.9117,TRUE
"61",61,0,"F1_61",0.164504281753662,"F4_96",1,1,285258.3643,4425729.5984,TRUE
"62",62,0,"F1_62",0.249938884928394,"F4_95",1,1,285251.5395,4425729.6656,TRUE
"63",63,0,"F1_63",0.173787141908717,"F4_97",1,1,285255.1771,4425729.479,TRUE
"64",64,0,"F1_64",0.210625729292059,"F4_98",1,1,285253.6066,4425729.5203,TRUE
"65",65,0,"F1_65",0.222349084140009,"F4_58",1,1,285260.7906,4425729.4567,TRUE
"66",66,0,"F1_66",0.26375873958118,"F4_59",1,1,285262.0464,4425729.2619,TRUE
"67",67,0,"F1_67",0.283244653852542,"F4_99",1,1,285252.8054,4425729.0999,TRUE
"68",68,0,"F1_68",0.337306410319317,"F4_101",1,1,285257.8386,4425729.0145,TRUE
"69",69,0,"F1_69",0.280772445309241,"F4_61",1,1,285263.2666,4425728.8173,TRUE
"70",70,0,"F1_70",0.2045050477246,"F4_102",1,1,285251.766,4425728.8114,TRUE
"71",71,0,"F1_71",0.235459766535198,"F4_103",1,1,285256.4371,4425728.4155,TRUE
"72",72,0,"F1_72",0.304157115230103,"F4_105",1,1,285257.5553,4425728.1975,TRUE
"73",73,0,"F1_73",0.108562607067757,"F4_63",1,1,285261.4967,4425728.0234,TRUE
"74",74,0,"F1_74",0.149153732417784,"F4_64",1,1,285263.7456,4425727.8928,TRUE
"75",75,0,"F1_75",0.198263285963215,"F4_104",1,1,285252.9703,4425727.9466,TRUE
"76",76,0,"F1_76",0.202963046511583,"F4_66",1,1,285262.6379,4425727.7576,TRUE
"77",77,0,"F1_77",0.196496714707125,"F4_107",1,1,285256.8984,4425727.3196,TRUE
"78",78,0,"F1_78",0.350174249571599,"F4_68",1,1,285260.9654,4425727.2429,TRUE
"79",79,0,"F1_79",0.158463445517591,"F4_84",1,1,285250.1608,4425732.2469,TRUE
"80",80,0,"F1_80",0.222368096413168,"F4_117",1,1,285248.9578,4425732.0774,TRUE
"81",81,0,"F1_81",0.871325595131159,"F4_118",0,0,285248.1345,4425731.219,TRUE
"82",82,0,"F1_82",0.199523834268903,"F4_89",1,1,285250.1116,4425731.0454,TRUE
"83",83,0,"F1_83",0.122419123044578,"F4_118",1,1,285248.1801,4425730.381,TRUE
"84",84,0,"F1_84",0.446091676511548,"F4_119",1,1,285247.219,4425730.1408,TRUE
"85",85,0,"F1_85",0.160149509576141,"F4_93",1,1,285250.3472,4425730.0112,TRUE
"86",86,0,"F1_86",0.164500013438959,"F4_100",1,1,285249.7281,4425729.1046,TRUE
"87",87,0,"F1_87",0.246618253683318,"F4_120",1,1,285247.5101,4425728.5458,TRUE
"88",88,0,"F1_88",0.110020656288102,"F4_1826",1,1,285250.6175,4425728.3349,TRUE
"89",89,0,"F1_89",0.27899034766455,"F4_121",1,1,285245.6585,4425728.1966,TRUE
"90",90,0,"F1_90",0.187311476265742,"F4_106",1,1,285249.8781,4425727.3489,TRUE
"91",91,0,"F1_91",0.180441475875645,"F4_122",1,1,285243.4811,4425727.2916,TRUE
"92",92,0,"F1_92",0.213858654803216,"F4_386",1,1,285293.2188,4425714.3392,TRUE
"93",93,0,"F1_93",0.131478199531396,"F4_365",1,1,285297.1262,4425713.6202,TRUE
"94",94,0,"F1_94",0.264842450698595,"F4_389",1,1,285293.6221,4425713.4185,TRUE
"95",95,0,"F1_95",0.195253654839897,"F4_366",1,1,285301.9955,4425713.2928,TRUE
"96",96,0,"F1_96",0.0296849556646788,"F4_367",1,1,285296.4714,4425713.2165,TRUE
"97",97,0,"F1_97",0.126081373041146,"F4_6",1,1,285279.4198,4425725.6491,TRUE
"98",98,0,"F1_98",0.148059447402667,"F4_149",1,1,285278.6739,4425723.9984,TRUE
"99",99,0,"F1_99",0.165143163721379,"F4_151",1,1,285279.911,4425723.7007,TRUE
"100",100,0,"F1_100",0.218592562128348,"F4_150",1,1,285282.3503,4425723.6432,TRUE
"101",101,0,"F1_101",0.184811951632217,"F4_153",1,1,285279.2029,4425722.8498,TRUE
"102",102,0,"F1_102",0.211855114867966,"F4_157",1,1,285283.5484,4425722.597,TRUE
"103",103,0,"F1_103",0.140237522616978,"F4_156",1,1,285280.3294,4425722.6051,TRUE
"104",104,0,"F1_104",0.112606499502558,"F4_154",1,1,285281.7376,4425722.6392,TRUE
"105",105,0,"F1_105",0.172620317480749,"F4_158",1,1,285282.4641,4425721.937,TRUE
"106",106,0,"F1_106",0.176370235857631,"F4_159",1,1,285279.7712,4425721.8251,TRUE
"107",107,0,"F1_107",0.0907975248987111,"F4_136",1,1,285286.3782,4425721.2678,TRUE
"108",108,0,"F1_108",0.136989001813617,"F4_161",1,1,285282.1043,4425721.0449,TRUE
"109",109,0,"F1_109",0.089733131616683,"F4_162",1,1,285280.5295,4425721.0516,TRUE
"110",110,0,"F1_110",0.198734191216581,"F4_163",1,1,285284.0378,4425720.7186,TRUE
"111",111,0,"F1_111",0.122161895334802,"F4_137",1,1,285286.2243,4425720.3356,TRUE
"112",112,0,"F1_112",0.29946136271633,"F4_138",1,1,285287.1176,4425719.9941,TRUE
"113",113,0,"F1_113",0.201213535613096,"F4_165",1,1,285282.8674,4425720.0403,TRUE
"114",114,0,"F1_114",0.157395758159809,"F4_164",1,1,285281.7337,4425720.0519,TRUE
"115",115,0,"F1_115",0.101566642816435,"F4_166",1,1,285284.2876,4425719.759,TRUE
"116",116,0,"F1_116",0.0973986982157856,"F4_167",1,1,285280.6932,4425719.7757,TRUE
"117",117,0,"F1_117",0.115591497508944,"F4_168",1,1,285285.1454,4425719.5036,TRUE
"118",118,0,"F1_118",0.0924857789320393,"F4_139",1,1,285289.2813,4425719.2567,TRUE
"119",119,0,"F1_119",0.207096632895935,"F4_140",1,1,285287.735,4425719.2372,TRUE
"120",120,0,"F1_120",0.0861341011422592,"F4_169",1,1,285279.3271,4425719.1514,TRUE
"121",121,0,"F1_121",0.180486256837698,"F4_141",1,1,285286.1542,4425719.164,TRUE
"122",122,0,"F1_122",0.223008841396239,"F4_170",1,1,285282.3951,4425718.9833,TRUE
"123",123,0,"F1_123",1.05004556984839,"F4_143",0,0,285290.5578,4425718.9472,TRUE
"124",124,0,"F1_124",0.227105856107031,"F4_142",1,1,285287.0762,4425718.7953,TRUE
"125",125,0,"F1_125",0.162607140048813,"F4_172",1,1,285281.0296,4425718.6091,TRUE
"126",126,0,"F1_126",0.96251458543329,"F4_144",0,0,285288.4197,4425718.4834,TRUE
"127",127,0,"F1_127",0.339073707887229,"F4_173",1,1,285284.5225,4425718.6372,TRUE
"128",128,0,"F1_128",0.192693008117329,"F4_174",1,1,285285.4368,4425718.2118,TRUE
"129",129,0,"F1_129",0.0974509878136566,"F4_175",1,1,285279.9422,4425718.1155,TRUE
"130",130,0,"F1_130",0.312888103226373,"F4_143",1,1,285290.6596,4425717.9983,TRUE
"131",131,0,"F1_131",0.325571593317752,"F4_144",1,1,285288.099,4425717.7349,TRUE
"132",132,0,"F1_132",2.06197206793509,"F4_143",0,0,285292.3965,4425717.6087,TRUE
"133",133,0,"F1_133",0.065728716434649,"F4_176",1,1,285284.4665,4425717.5438,TRUE
"134",134,0,"F1_134",0.280419256996194,"F4_177",1,1,285281.393,4425717.5028,TRUE
"135",135,0,"F1_135",0.118532317801784,"F4_145",1,1,285287.2776,4425717.2357,TRUE
"136",136,0,"F1_136",0.166447639455448,"F4_179",1,1,285283.6158,4425717.0643,TRUE
"137",137,0,"F1_137",0.200754332607882,"F4_178",1,1,285280.1429,4425717.1693,TRUE
"138",138,0,"F1_138",0.152482128850569,"F4_180",1,1,285282.3222,4425716.8928,TRUE
"139",139,0,"F1_139",0.204825203944842,"F4_146",1,1,285285.9821,4425716.8524,TRUE
"140",140,0,"F1_140",0.169837325523463,"F4_181",1,1,285281.0068,4425716.4345,TRUE
"141",141,0,"F1_141",0.120967375392851,"F4_182",1,1,285285.0544,4425716.3453,TRUE
"142",142,0,"F1_142",0.268227792411182,"F4_147",1,1,285287.0527,4425716.354,TRUE
"143",143,0,"F1_143",0.33914470909621,"F4_185",1,1,285278.6433,4425715.9872,TRUE
"144",144,0,"F1_144",0.235689910381047,"F4_184",1,1,285282.2068,4425715.9249,TRUE
"145",145,0,"F1_145",0.175654484154874,"F4_186",1,1,285280.3268,4425715.8567,TRUE
"146",146,0,"F1_146",0.294386352864471,"F4_383",1,1,285288.5473,4425715.7224,TRUE
"147",147,0,"F1_147",0.168484547391931,"F4_382",1,1,285286.2652,4425715.7614,TRUE
"148",148,0,"F1_148",0.169532736462291,"F4_413",1,1,285281.1467,4425715.5756,TRUE
"149",149,0,"F1_149",1.45490595247109,"F4_184",0,0,285283.2698,4425715.3182,TRUE
"150",150,0,"F1_150",0.788879612432223,"F4_416",0,0,285284.032,4425715.1347,TRUE
"151",151,0,"F1_151",0.0530659139593481,"F4_385",1,1,285287.6424,4425714.665,TRUE
"152",152,0,"F1_152",0.198053890776121,"F4_415",1,1,285279.291,4425714.948,TRUE
"153",153,0,"F1_153",0.22998758403892,"F4_416",1,1,285284.7017,4425714.5151,TRUE
"154",154,0,"F1_154",0.287136049841089,"F4_1772",1,1,285288.6712,4425714.3876,TRUE
"155",155,0,"F1_155",0.183586824502262,"F4_387",1,1,285289.4941,4425713.8435,TRUE
"156",156,0,"F1_156",0.177576210190443,"F4_388",1,1,285291.6078,4425713.6937,TRUE
"157",157,0,"F1_157",0.295565745643688,"F4_418",1,1,285279.3061,4425713.6388,TRUE
"158",158,0,"F1_158",0.179254322576087,"F4_29",1,1,285273.5982,4425726.9154,TRUE
"159",159,0,"F1_159",0.165209910774605,"F4_31",1,1,285267.7246,4425726.8596,TRUE
"160",160,0,"F1_160",0.202840939135578,"F4_30",1,1,285271.2196,4425726.7848,TRUE
"161",161,0,"F1_161",0.162065694366081,"F4_4",1,1,285277.0752,4425726.6832,TRUE
"162",162,0,"F1_162",0.111117948808089,"F4_5",1,1,285278.0106,4425726.3878,TRUE
