"","OBJECTID","CLASS_ID","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"1",5,0,"F4_0",0.157696273068718,"F1_721",1,285758.5431,4425786.8749,TRUE
"2",6,0,"F4_1",0.185923542413518,"F1_720",1,285758.6626,4425785.9298,TRUE
"3",7,0,"F4_2",0.0664491270546523,"F1_719",1,285758.6787,4425785.0187,TRUE
"4",8,0,"F4_3",0.0359514894165792,"F1_0",1,285754.8164,4425784.5528,TRUE
"5",9,0,"F4_4",0.0854570697962912,"F1_716",1,285755.4903,4425783.495,TRUE
"6",10,0,"F4_5",0.420823160991351,"F1_1",1,285753.8826,4425783.1438,TRUE
"7",11,0,"F4_6",0.0787856627159396,"F1_717",1,285755.6042,4425782.4753,TRUE
"8",12,0,"F4_7",0.0555400489508917,"F1_3",1,285754.487,4425781.7887,TRUE
"9",13,0,"F4_8",0.205702929517035,"F1_718",1,285756.2755,4425781.458,TRUE
"10",14,0,"F4_9",0.157775249533293,"F1_5",1,285753.7987,4425779.7209,TRUE
"11",15,0,"F4_10",0.122057167458659,"F1_4",1,285752.1696,4425779.7189,TRUE
"12",16,0,"F4_11",0.0427946342320939,"F1_703",1,285753.1786,4425778.6002,TRUE
"13",17,0,"F4_12",0.0441070575891255,"F1_15",1,285748.8625,4425781.9933,TRUE
"14",18,0,"F4_13",0.054019198236519,"F1_710",1,285750.5849,4425780.6872,TRUE
"15",19,0,"F4_14",0.127744787091036,"F1_16",1,285749.5516,4425778.7834,TRUE
"16",63,0,"F4_15",0.151106786691114,"F1_664",1,285804.3087,4425771.3806,TRUE
"17",64,0,"F4_16",0.108104832464198,"F1_6",1,285753.8903,4425777.4364,TRUE
"18",65,0,"F4_17",0.0472301187195718,"F1_7",1,285752.8568,4425777.1416,TRUE
"19",66,0,"F4_18",0.0679357643275452,"F1_8",1,285751.8961,4425776.8747,TRUE
"20",67,0,"F4_19",0.0367675017371865,"F1_10",1,285753.8284,4425776.1468,TRUE
"21",68,0,"F4_20",0.113103984044233,"F1_11",1,285755.1354,4425775.7981,TRUE
"22",69,0,"F4_21",0.18883506964907,"F1_12",1,285752.2577,4425775.5845,TRUE
"23",70,0,"F4_22",0.0472289323407331,"F1_700",1,285754.0945,4425774.8732,TRUE
"24",71,0,"F4_23",0.0533290168789654,"F1_701",1,285755.2251,4425774.7913,TRUE
"25",72,0,"F4_24",0.213236974473884,"F1_698",1,285752.4539,4425773.4767,TRUE
"26",73,0,"F4_25",0.0680359855400529,"F1_704",1,285750.4501,4425778.3678,TRUE
"27",74,0,"F4_26",0.0647499305248388,"F1_705",1,285749.6446,4425777.5639,TRUE
"28",75,0,"F4_27",0.131899161754508,"F1_706",1,285748.017,4425777.2759,TRUE
"29",76,0,"F4_28",0.326249470318454,"F1_17",1,285750.2917,4425776.5016,TRUE
"30",77,0,"F4_29",0.15912794085383,"F1_9",1,285751.0804,4425776.4915,TRUE
"31",78,0,"F4_30",0.163046137166926,"F1_697",1,285748.162,4425775.9007,TRUE
"32",79,0,"F4_31",0.0923407671823006,"F1_18",1,285749.2709,4425775.6993,TRUE
"33",80,0,"F4_32",0.103870810527117,"F1_694",1,285750.1599,4425774.8709,TRUE
"34",81,0,"F4_33",0.120337565026229,"F1_695",1,285748.6497,4425774.7524,TRUE
"35",82,0,"F4_34",0.159880378016979,"F1_693",1,285749.2894,4425773.688,TRUE
