UFID,dist,nnid2,Observed,Nesting
F4_156,0.385793648,F4_157,0,0
F4_157,0.385793648,F4_156,0,1
F4_258,0.522603926,F4_260,1,0
F4_260,0.522603926,F4_258,1,1
F4_401,0.559842712,F4_402,1,0
F4_402,0.559842712,F4_401,1,1
F4_505,0.577211646,F4_508,1,0
F4_508,0.577211646,F4_505,1,1
F4_42,0.583105553,F4_763,1,0
F4_763,0.583105553,F4_42,1,1
F4_70,0.604747666,F4_73,1,0
F4_73,0.604747666,F4_70,1,1
F4_309,0.639799518,F4_459,1,0
F4_459,0.639799518,F4_309,1,1
F4_90,0.640240303,F4_812,0,0
F4_812,0.640240303,F4_90,1,1
F4_625,0.650779497,F4_626,0,0
F4_626,0.650779497,F4_625,1,1
F4_286,0.65926922,F4_716,1,0
F4_716,0.65926922,F4_286,1,1
F4_430,0.663220216,F4_721,1,0
F4_721,0.663220216,F4_430,1,1
F4_243,0.672608082,F4_244,1,0
F4_244,0.672608082,F4_243,0,1
F4_34,0.675787239,F4_792,1,0
F4_792,0.675787239,F4_34,1,1
F4_254,0.693255045,F4_703,1,0
F4_703,0.693255045,F4_254,1,1
F4_555,0.696671763,F4_557,1,0
F4_557,0.696671763,F4_555,1,1
F4_417,0.70251785,F4_430,1,1
F4_419,0.713401227,F4_420,1,0
F4_420,0.713401227,F4_419,1,1
F4_233,0.716041111,F4_235,1,0
F4_235,0.716041111,F4_233,1,1
F4_458,0.717404077,F4_309,1,1
F4_23,0.724246534,F4_24,1,0
F4_24,0.724246534,F4_23,1,1
F4_60,0.726546701,F4_747,1,0
F4_747,0.726546701,F4_60,1,1
F4_65,0.736567169,F4_67,1,0
F4_67,0.736567169,F4_65,1,1
F4_440,0.736860752,F4_441,1,0
F4_441,0.736860752,F4_440,1,1
F4_74,0.739593044,F4_77,1,0
F4_77,0.739593044,F4_74,1,1
F4_177,0.741056334,F4_67,1,1
F4_295,0.748689245,F4_298,1,1
F4_298,0.748689245,F4_295,1,1
F4_700,0.749539424,F4_736,1,1
F4_736,0.749539424,F4_700,1,1
F4_418,0.750106856,F4_721,1,1
F4_102,0.750948334,F4_776,1,1
F4_776,0.750948334,F4_102,1,1
F4_96,0.753569436,F4_738,1,1
